007 PRECIOUS METALS INC	00000#N/A
CHANDLER INSURANCE LTD	000792854
CHANDRA ASRI PETROCHEMICAL	001190626
CHANGING TECHNOLOGIES INC	001424298
CHANGYOU.COM LTD	001458696
CHANNELADVISOR CORP	001172721
CHANTAL PHARMACEUTICAL CORP	000721408
CHAPARRAL RESOURCES INC	000019252
CHAPARRAL STEEL CO -OLD	001319048
CHAPMAN CAP MGMT HLDGS INC	001283283
CHAPTERS ONLINE INC	001334270
CHARLES RIVER LABS INTL INC	001100682
CHARTER BANCSHARES INC	000718607
CHARTER ONE FINANCIAL INC	000819692
CHARTERED SEMICONDUCTOR MFG	001095270
CHARTWELL RE CORP	000912047
CHARTWELL TECHNOLOGY INC	001096952
CHASE MANHATTAN CORP  -OLD	001056595
CHASTAIN CAPITAL CORP	001051491
CHATEAU COMMUNITIES INC	000912393
CHATTAHOOCHEE BANCORP INC	001297199
CHATTEM INC	000019520
CHECK POINT SOFTWARE TECHN	001028654
CHECK-CAP LTD	001595842
CHECKERS DRIVE-IN RESTAURANT	000879554
CHECKMATE ELECTRS INC	000910320
CHECKPOINT THERAPEUTICS INC	000215419
CHEESECAKE FACTORY INC	001032174
CHEETAH MOBILE INC  -ADR	001573285
CHEFS INTERNATIONAL INC	000201424
CHEGG INC	001364954
CHELL GROUP CORP	000797313
CHELSEA PROPERTY GROUP INC	000911215
CHEMATCH.COM INC	001104235
CHEMGENEX PHARMACEUTICALS	001118524
CHEMICAL FINANCIAL CORP	000019612
CHEMUNG FINANCIAL CORP	000763563
CHERRY HILL MTG INVST	001571776
CHESAPEAKE BIOLOGICAL  -CL A	001177306
CHESAPEAKE ENERGY CORP	000895126
CHESTER VY BANCORP INC	001311353
CHEVRON CORP	000093410
CHEVY CHASE PFD CAP CORP	000920628
CHEYENNE SOFTWARE INC	000738830
CHF SOLUTIONS INC	001172989
CHIASMA INC	001339469
CHIBOUGAMAU INDEPENDNT MINES	001287287
CHICAGO DOCK & CANAL TRUST	000774658
CHIEFTAIN INTL INC	000846871
CHILDRENS COMPREHENSIVE SVC	000816247
CHIMERIX INC	001117480
CHINA BOTANIC PHARMACEUTICAL	000926844
CHINA CGAME INC	001470683
CHINA CRESCENT ENTERPRISES	001445161
CHINA DIGITALTV HLDG CO -ADS	000721693
CHINA DISPLAY TECHNOLOGIES	001534962
CHINA DONGSHENG INTL INC	000946112
CHINA EDUCATION RESOURCES	001618919
CHINA FINANCE ONLINE CO -ADR	001423023
CHINA FIRE & SECURTY GRP INC	001271940
CHINA FOOD & BEVERAGE CO	000717228
CHINA GEWANG BIOTECH INC	001449801
CHINA GRENTECH CORP LTD -ADR	001347510
CHINA HELI RES RENEWABLE INC	001506215
CHINA HUAREN ORGANIC PRODS	001303330
CHINA INFORMATION TECHNOLOGY	001350684
CHINA INSONLINE CORP	001311369
CHINA LIFE INSURANCE (CHN)	001501958
CHINA MEDICAL TECHNOLGS -ADR	001402805
CHINA MOBILE GAMES  -ADR	001453056
CHINA NATURAL RESOURCES INC	000793628
CHINA NETCOM GROUP CORP	001119699
CHINA NORTH EAST PETRO HLDG	001080627
CHINA ONLINE EDUCATN GP -ADR	000918526
CHINA PACIFIC INC	000789857
CHINA PHARMA HOLDINGS INC	001123658
CHINA RAPID FNC- ADR	001447959
CHINA SKY ONE MEDICAL INC	001407994
CHINA TECHFAITH WIRELESS-ADR	001316317
CHINA TECHNOLOGY GLOBAL CORP	001021126
CHINA TELECOM CORP LTD	001191255
CHINA TRANSINFO TECHNOLOGY	001352884
CHINACACHE INTL HLDGS  -ADR	001498576
CHINATEK INC	000768942
CHINAWE.COM INC	001043222
CHINOOK TYEE INDUSTRY LTD	001572214
CHIPCOM CORP	000873567
CHIPMOS TECHNOLOGIES LTD	001123134
CHIPPAC INC	001093779
CHIPS & TECHNOLOGIES INC	000767965
CHIPSOFT INC/DE  -CL A	001286293
CHIQUITA BRANDS INTL INC	000101063
CHIRON CORP	000706539
CHITTENDEN CORP	001172451
CHOCK FULL O NUTS CORP	000020041
CHOICE ONE COMMUNICATION INC	001161191
CHOICE PRP REAL ESTATE INV	001580923
CHOLESTECH CORP	001608771
CHORDIANT SOFTWARE INC	001042134
CHORUM TECHNOLOGIES INC	001125352
CHORUS COMMUNICATION GRP LTD	001125352
CHRIS-CRAFT INDS	001499392
CHRYSLER CORP	001544763
CHRYSLER FINANCIAL CORP	000020164
CHUBB CORP	000020171
CHUBB LTD	001244220
CHUKONG HOLDINGS -ADR -REDH	001210298
CHUM LTD  -CL B	001564736
CHUNGHWA TELECOM LTD	001132924
CHURCH LOANS & INVTS TRUST	000020199
CHURCHILL TECHNOLOGY INC	000721233
CHYRONHEGO CORP	000020232
CIBER INC	000918581
CIBOLA ENERGY CORP	000351986
CIDARA THERAPEUTICS INC	000835303
CIDCO INC	000917639
CIDRA CORP	001039497
CIENA CORP	000936395
CIFC LLC	001313918
CII FINANCIAL INC	000844828
CIM COMMERICAL TRUST	000908311
CIMA LABS INC	000833298
CIMAREX ENERGY CO	001395719
CIMARRON PETROLEUM LTD	001461038
CIMATRON LTD	001008595
CIMETRIX INC	001395938
CIMNET INC	001063832
CINCINNATI BELL INC	000716133
CINCINNATI FINANCIAL CORP	001446915
CINERGY CORP	000899652
CINTECH SOLUTIONS INC	000926038
CIPHERLOC CORP	001559448
CIPRICO INC	000720145
CIRCA ENTERPRISES INC	001321607
CIRCA PHARMACEUTICALS INC	000013006
CIRCADIAN INC	000738014
CIRCLE.COM	001097735
CIRCON CORP	000719727
CIRCUIT CITY STORES INC	000104599
CIRCUIT RESEARCH LABS INC	000725897
CIRRUS LOGIC INC	000772406
CISCO SYSTEMS INC	000858877
CITATION COMPUTER SYS INC	001456305
CITI-BANCSHARES INC	001469492
CITICORP	001457741
CITINATIONAL DEVELOPMENT TR	001314654
CITIUS PHARMACEUTICALS INC	001316467
CITIZENS & NORTHERN CORP	000810958
CITIZENS BANCORP/MD	001470956
CITIZENS CORP	001338652
CITIZENS FINANCIAL CORP/KY	000764156
CITIZENS FINANCIAL GROUP INC	000020459
CITIZENS FINANCIAL SVCS INC	000739421
CITIZENS FST BANCORP INC/NJ	001166900
CITIZENS GROWTH PROPERTIES	000711202
CITIZENS INC	000024090
CITIZENS NATIONAL CORP	001023613
CITIZENS REPUBLIC BANCORP	001602379
CITIZENS SEC GROUP INC	001032281
CITRIX SYSTEMS INC	000877890
CITY HOLDING CO	000726854
CITY NATIONAL CORP	000201461
CITY NETWORK INC	001140827
CITY OFFICE REIT INC	001595928
CITYTRUST BANCORP INC	001324640
CIVIC BANCORP	000747205
CIVISTA BANCSHARES INC	001488409
CIVITAS THERAPEUTICS  -REDH	001608638
CKE RESTAURANTS INC	000919628
CKS GROUP INC	001002518
CLAIRVEST GROUP INC	001607453
CLAREMONT TECHNOLOGY GRP INC	001013736
CLARENT CORP	001594001
CLARICA LIFE INSURANCE CO	001089703
CLARIFY INC	001000782
CLARION COML HOLDINGS INC	000934588
CLARKE INC	001576752
CLARUS CORP -OLD	000913277
CLASSIC BANCSHARES INC	001001627
CLAYTON WILLIAMS ENERGY INC	000842373
CLEAR ENERGY INC	001570544
CLEARLY CDN BEVERAGE CORP	000808464
CLEARNET COMMUN INC  -CL A	001571728
CLEARONE INC	000840715
CLEARSIDE BIOMEDICAL INC	001272866
CLEARSTORY SYSTEMS INC	001505017
CLECO CORP	001089819
CLEMENTIA PHARMACEUTICALS	001256131
CLEVELAND ELECTRIC ILLUM	001142248
CLEVELAND-CLIFFS INC	001341101
CLEVETRUST REALTY INVESTORS	000020975
CLICK COMMERCE INC	001107050
CLICKACTION INC	000944950
CLICKSOFTWARE TECHNOLOGIES	001105841
CLICKSTREAM CORP	001105841
CLINICAL DATA INC	000716646
CLINICOM INC	000882387
CLINTON GAS SYSTEMS INC	000702256
CLIPPER REALTY INC	000848371
CLOUD SECURITY CORP	001128800
CLOUDERA INC	001586416
CLOUDWARD INC	001505941
CLOUDWEB INC	001505941
CLST HOLDINGS INC	001122178
CLYDESDALE RESOURCES INC	001200339
CMC INDUSTRIES INC	000913270
CME GROUP INC	001030532
CMP GROUP INC	001059259
CMP MEDIA INC  -CL A	001034139
CMS OIL & GAS CO	000946036
CMS/DATA CORP	001349069
CMSF CORP  -OLD	000907686
CMTSU LIQUIDATION INC	001479969
CNA FINANCIAL CORP	000021175
CNA SURETY CORP	001044566
CNB BANCORP INC/NY	000839928
CNB BANCSHARES INC	000724198
CNB FINANCIAL CORP/NY	001345622
CNB FINANCIAL CORP/PA	000736772
CNET NETWORKS INC	001015577
CNOOC LTD	001095595
CNOVA NV	001609653
CO-ENERCO RESOURCES	001089400
COASTAL CARIBBEAN OILS&MINL	000021239
COBALT GROUP INC	001036290
COBALT NETWORKS INC	001053355
COBANCORP INC	000745276
COBRA ELECTRONICS CORP	000030828
COBRE MINING CO INC	001486286
COCA-COLA BEVERAGES	001599685
COCA-COLA BOTTLING GP STHWST	001599685
COCA-COLA BTLNG CONS	001599685
COCA-COLA CO	001564029
COCA-COLA EUROPEAN PARTNERS	001491675
COCA-COLA FEMSA SAB DE CV	001491675
COCENSYS INC	000895034
COCRYSTAL PHARMA INC	001448266
CODA ENERGY INC	000356799
CODE REBEL CORP	001613011
CODED COMMUNICATIONS CORP	001171191
CODENOLL TECHNOLOGY CORP	000318379
CODESMART HOLDINGS INC	001599781
CODORUS VALLEY BANCORP	001024970
COFFEE PEOPLE INC	000925908
COGAS ENERGY LTD	001229991
COGECO COMMUNICATIONS INC	001579998
COGECO INC  -SUB VTG	001579998
COGENT COMMUNICATIONS HLDGS	001158324
COGENT INC	001091363
COGNEX CORP	000851205
COGNICASE INC	001042682
COGNITIVE SYSTEMS INC	001050452
COGNIZANT TECH SOLUTIONS	001446811
COGNOS INC	000746782
COHEN & STEERS INC	001284812
COHERENT COMMUNICATIONS SYS	001574172
COHERENT INC	000021510
COHERUS BIOSCIENCES INC	001311874
COHO ENERGY INC	000908797
COHO RESOURCES LTD  -CL A	000863924
COIL TUBING TECHNOLOGY INC	001355669
COLE COMPUTER CORP	000828189
COLE CORPORATE INCM TR INC	000828189
COLE CREDIT PROPERTY TR INC	001211079
COLE CREDIT PROPERTY TR IV	001211079
COLE REAL ESTATE INCM STRTGY	001619595
COLE REAL ESTATE INVESTMENTS	001498542
COLLABRIUM JAPAN ACQ CP	001518610
COLLABRX INC	001443139
COLLAGENEX PHARMACEUTCLS INC	000021686
COLLECTIVE BANCORP INC	000835345
COLLEGE BOUND INC	001480385
COLLEGIUM PHARMACEUTICAL INC	001267565
COLLINS FOODS INTERNATIONAL	001433736
COLONIAL BANCGROUP	001567993
COLONIAL DATA TECHNOLOGIES	000021828
COLONIAL GROUP  -CL A	000060653
COLONIAL PROPERTIES TRUST	000909111
COLONY GLOBAL ACQ CORP -REDH	001033665
COLORADO MEDTECH INC	000720013
COLORADO NATL BANKSHARES	000892272
COLORADO UTE ELECTRIC ASSOC	001342540
COLORADO WYOMING RESERVE CO	000318852
COLOROCS CORP	000108473
COLT GROUP SA	001512369
COLTEC HOLDINGS INC	000832369
COLUCID PHARMACEUTICALS INC	001348649
COLUMBIA BANCORP	000834105
COLUMBIA BANKING SYSTEM INC	000887343
COLUMBIA REAL ESTATE INVS	000779608
COLUMBIAN ENERGY CO  -LP	001168996
COLUMBUS ENERGY CORP	000823975
COLUMBUS REALTY TRUST	000913602
COLUMBUS SOUTHERN POWER CORP	000022198
COM GUARD.COM INC	001103759
COM SYSTEMS INC	000355374
COM21 INC	000945379
COMAIR HOLDINGS INC	000835344
COMAMTECH INC -OLD	000835344
COMAPLEX MINERALS CORP	001396303
COMARCO INC	000022252
COMBANC INC	001071010
COMBICHEM INC/DEL	001002276
COMCAST CABLEVISION-PHILA	001006239
COMCAST CORP	001166691
COMCAST JOIN HOLDINGS	001105716
COMCAST UK CABLE PRTN  -CL A	000919957
COMDIAL CORP	000230131
COMDISCO HOLDING CO INC	001179484
COMERICA INC	001436738
COMET ENTERTAINMENT INC	001171385
COMET SOFTWARE INTL LTD	000916833
COMINAR REAL ESTATE INVT TR	001383826
COMINCO LTD	000022337
COMM BANCORP INC	000730030
COMMAND SYSTEMS INC	001052439
COMMERCE BANC CORP	001444888
COMMERCE BANCORP INC/NJ	001171313
COMMERCE BANCSHARES INC	001620686
COMMERCE BK VIRGINIA BEACH	000022362
COMMERCE GROUP INC/MA	000811612
COMMERCE ONE INC	001094640
COMMERCEBANCORP	001392142
COMMERCEHUB INC	001098813
COMMERCIAL ASSETS INC	000910675
COMMERCIAL BANCORPORATION CO	000717059
COMMERCIAL BANK/NY	000891429
COMMERCIAL BANKSHARES INC	000354562
COMMERCIAL CONCEPTS INC	001014618
COMMERCIAL CREDIT CO	000201499
COMMERCIAL METALS	001524815
COMMERCIAL NATIONAL FINL CP	000866054
COMMERCIAL NATL FINL CP/PA	000866054
COMMNET CELLULAR INC	000787912
COMMODORE INTL LTD	000945524
COMMONWEALTH BANCSHARES CORP	001005126
COMMONWEALTH BANKSHARES INC	000835012
COMMONWEALTH EDISON CO	000022606
COMMONWEALTH ELECTRIC CO	000071222
COMMONWEALTH ENERGY SYSTEM	001156443
COMMONWLTH TELE ENTER	001398776
COMMSCOPE HOLDING CO INC	001313191
COMMUNICATIONS CENTRAL INC	000914249
COMMUNICATIONS SYSTEMS INC	001270146
COMMUNICATIONS TRANSMISSION	000945131
COMMUNITY BANCORP INC/CA	001089503
COMMUNITY BANCORP INC/VT	001089503
COMMUNITY BANCSHARES INC/TN	001292639
COMMUNITY BANK SYSTEM INC	000723188
COMMUNITY BANKS INC	001068914
COMMUNITY BANKSHARES INC/VA	000742279
COMMUNITY FINANCIAL CORP/IL	001008511
COMMUNITY FINANCIAL HLDG CP	001496667
COMMUNITY FINL GROUP INC	001123735
COMMUNITY FIRST BANKSHARES	001035903
COMMUNITY HEALTH COMPUTING	001488498
COMMUNITY HEALTHCARE TRUST	001499507
COMMUNITY INDEPENDENT BANK	001428995
COMMUNITY NATIONAL BANCORP	001159348
COMMUNITY TRUST BANCORP INC	001047142
COMMUNITY VALLEY BANCORP/CA	001170833
COMMUNITYONE BANCORP	000764811
COMMVAULT SYSTEMS INC	001169561
COMPANIA BOLIVIANA ENERGIA	001274685
COMPAQ COMPUTER CORP	000714154
COMPARATOR SYSTEMS CP	000277809
COMPELLENT TECHNOLOGIES INC	001253955
COMPEX TECHNOLOGIES INC	000064578
COMPLETE GENOMICS INC	001361103
COMPLETEL EUROPE NV	001120522
COMPLINK LTD	000888028
COMPRESSENT CORP	001013273
COMPRESSION LABS	001015363
COMPRESSION TECHNOLOGIES INC	001356711
COMPTON PETROLEUM CORP	001043572
COMPULAB LTD - REDH	001543724
COMPURAD INC	001019947
COMPUSERVE CORP	000022896
COMPUTATIONAL SYSTEMS INC	000947483
COMPUTER AUTOMATION INC	000022962
COMPUTER COMMUNICATIONS INC	000819917
COMPUTER DATA SYSTEMS INC	000022989
COMPUTER HORIZONS CORP	000023019
COMPUTER IDENTICS CORP	000023019
COMPUTER LANGUAGE RESEARCH	000820735
COMPUTER LEARNING CTRS INC	000943206
COMPUTER MGMT SCIENCES INC	000900475
COMPUTER MODELLING GROUP LTD	000900475
COMPUTER MOTION INC	000906829
COMPUTER NETWORK TECH CORP	000906829
COMPUTER PETROLEUM CORP	000893816
COMPUTER PROGRAMS & SYSTEMS	000023071
COMPUTER SERVICES INC	000023082
COMPUTER SOFTWARE INNOVATION	000023082
COMPUTER TASK GROUP INC	000023111
COMPUTERIZED THERMAL IMAGING	001403085
COMPUTERVISION CORP	001602181
COMPUTRAC INC	000720507
COMPUWARE CORP	000859014
COMSAT CORP  -SER 1	000022698
COMSCORE INC	000022698
COMSHARE INC	000201513
COMSTOCK BANCORP	001035733
COMSTOCK RESOURCES INC	000023194
COMTECH TELECOMMUN	001501960
COMVERSE TECHNOLOGY INC	000789205
CON-WAY INC	001571393
CONA RESOURCES LTD	000023675
CONATUS PHARMACEUTICALS INC	001426122
CONCENTRA CORP	000933091
CONCENTREX INC	001170441
CONCENTRIC NETWORK CORP	001007304
CONCEPTS DIRECT INC	000891035
CONCEPTUS INC	000896778
CONCERO INC	001030487
CONCERT PHARMACEUTICLS INC	001367920
CONCERTO SOFTWARE INC	000811640
CONCORD CAMERA CORP	000831861
CONCORD COMMUNICATIONS INC	000915290
CONCORD HOLDING CORP	000896499
CONCORDE CAREER COLLEGES INC	000832483
CONCORDIA INTERNATIONAL CORP	000945754
CONCORDIA RESOURCE CORP	001395183
CONCUR TECHNOLOGIES INC	001066026
CONDOR HOSPITALITY TR INC	001203041
CONDOR SERVICES INC	000888756
CONDOR TECH SOLUTIONS INC	000779033
CONDUCTUS INC	000884621
CONESTOGA ENTERPRISES	001345167
CONESTOGA TELEPHONE & TELEGR	001342381
CONEXANT SPINCO INC	001127946
CONEXANT SYSTEMS INC	001069353
CONGRESS STREET PPTYS INC	001062715
CONIFER HOLDINGS INC	001441454
CONMED CORP	000816956
CONNACHER OIL & GAS LTD	001312572
CONNECTICUT LIGHT & POWER CO	000023426
CONNECTICUT YANKEE ATOMC PWR	000276209
CONNECTINC.COM CO	000831529
CONNECTONE BANCORP INC	001573047
CONNECTONE BANCORP INC -OLD	001573047
CONNECTURE INC	001211759
CONNER PERIPHERALS	001270174
CONNING CORP	000801051
CONOCOPHILLIPS	001205575
CONQUEST EXPLORATION CO	001555845
CONSECO FINANCE CORP	000890175
CONSOLIDATED COMM HLDGS INC	000023607
CONSOLIDATED NRD RESOURCES	000812356
CONSOLIDATED STAINLESS INC	000909726
CONSORCIO G GRUPO DINA SA	001043415
CONSTELLATION 3D INC	001080290
CONSTELLATION BANCORP	000753766
CONSTELLATION COPPER CORP	001308553
CONSUL RESTAURANT CORP	001455586
CONSULIER ENGINEERING INC	000846718
CONSUMERS PACKAGING INC	000838001
CONSYGEN INC	000844008
CONTAGIOUS GAMING INC	001419478
CONTANGO OIL & GAS CO	001071993
CONTEL CELLULAR INC	000822419
CONTEL OF CALIFORNIA INC	000024186
CONTIFINANCIAL CORP	001002130
CONTINENTAL AIRLINES INC-OLD	000716729
CONTINENTAL BANK CORP	000024058
CONTINENTAL CBLVISION  -CL A	000023997
CONTINENTAL CORP	000024011
CONTINENTAL FUELS INC	001224474
CONTINENTAL HOMES HOLDING CP	000796122
CONTINENTAL MTG & EQUITY	000319416
CONTINENTAL PRECIOUS MINERLS	000899119
CONTINENTAL RESOURCES INC	000732834
CONTINENTAL VENTURES INC	001116525
CONTINUUM INC	001558480
CONTINUUS SOFTWARE CORP	001577501
CONTRAFECT CORP	001478069
CONTRAVIR PHARMACEUTICALS	001592370
CONTROL DATA SYSTEMS INC	000887309
CONTROL DELIVERY SYSTEM INC	000887309
CONVERA CORP	001125536
CONVERGE GLOBAL INC	001579833
CONVERGENT COMMUNICATIONS	001232496
CONVERGENT GROUP CORP	001094215
CONVERSANT INC	001254228
CONVERSION INDS INC	001305140
CONVEST ENERGY CORP/TX	000868738
CONVEX COMPUTER CORP	000743653
CONVIO INC	001138153
CONWEST EXPLORATION	001258981
COOKER RESTAURANT/OH	000832412
COOLSAVINGS INC	001087875
COOPER & CHYAN TECH INC	001051558
COOPER HOLDING CORP-OLD	001079151
COOPERATIVE BANKSHARES INC	000923529
COPE INC	000789847
COPELAND (AL) ENTERPRISES	001484454
COPLEY PHARMACEUTICAL INC	000841285
COPLEY PROPERTIES INC	000769017
COPPER MOUNTAIN NETWORKS INC	001031951
COPSYNC INC	001098377
COR THERAPEUTICS INC	001538540
CORAL COMPANIES INC	001274903
CORBUS PHARMACEUTICALS HLDGS	001411833
CORBY SPIRIT AND WINE LTD	001182784
CORCEPT THERAPEUTICS INC	001088856
CORDIA CORP	000837342
CORDIANT COMMUNICATIONS GRP	001010401
CORDIS CORP	000024654
CORE RESOURCE MANAGEMENT INC	001266985
CORECIVIC INC	001051736
CORECO INC	001553663
COREL CORP	000890640
CORESTATES FINANCIAL CORP	000069952
CORILLIAN CORP	001041403
CORINDUS VASCULAR ROBOTICS	001431898
CORINTHIAN COLLEGES INC	001066134
CORIUM INTERNATIONAL INC	001098043
CORNERSTONE BANCORP INC	001079385
CORNERSTONE FINANCIAL CP-OLD	001448324
CORNERSTONE INTERNET SOLTNS	001229845
CORNERSTONE ONDEMAND INC	001401680
CORNERSTONE PROPERTIES INC	000702301
CORNERSTONE RLTY INCOME TR I	000854875
COROWARE INC	001017239
CORPORATE EXPRESS INC	000878130
CORPORATE OFFICE PROPERT	000846998
CORPUS CHRISTI BNCSHARES INC	000757012
CORRIDOR RESOURCES INC	001335985
CORRIENTE RESOURCES INC	001371951
CORSAIR COMMUNICATIONS INC	001028285
CORTEX BUSINESS SOLUTIONS	001619790
CORTLAND BANCORP	001014315
CORUS BANKSHARES INC	000051939
CORUS GROUP PLC	000842021
CORVAS INTERNATIONAL INC	000882100
CORVU CORP	001103341
CORVUS PHARMACEUTICALS INC	001507964
COSMOS HOLDINGS INC	001174774
COSTAR GROUP INC	001057352
COSTILLA ENERGY INC	001018980
COTT CORP QUE	000884713
COTTON STATES LIFE INSURANCE	001420931
COUNTERPATH CORP	001236997
COUNTY BANCORP INC	001044108
COUPA SOFTWARE INC	001385867
COUPON EXPRESS INC	001404162
COURAGE ENERGY INC	001594055
COURIER DISPATCH GROUP INC	000025212
COUSINS PROPERTIES INC	000025232
COVAD COMMUNICATIONS GROUP	001443111
COVANCE INC	001023131
COVER-ALL TECHNOLOGIES INC	001058724
COVESCO CAPITAL CORP	001194580
COVEST BANCSHARES INC	000885694
COVIDIEN PLC	001385187
COVINGTON DEV GROUP INC	001334824
COVISINT CORP	001563699
COVISTA COMMUNICATIONS INC	000034497
COWEN INC	001355007
COX COMMUNICATIONS INC	001534905
CPC OF AMERICA INC	001042728
CPI CARD GROUP INC	001371615
CPS SYSTEMS INC	001048536
CPX CORP	000878377
CRACKER BARREL OLD CTRY STOR	001067294
CRAY COMPUTER CORP	000857101
CRAY INC	000949158
CRAY RESEARCH	001576233
CRAZY EDDIE INC	001374412
CREATIVE BIOMOLECULES INC	000857121
CREATIVE REALITIES INC	001301478
CREATIVE TECHNOLOGY LTD	000888295
CREATOR CAPITAL LTD	000882537
CREDICORP LTD	001001290
CREDIT ACCEPTANCE CORP	000885550
CREDIT MGMT SOLUTIONS INC	001346677
CREDIT STORE INC	001101851
CREDO PETROLEUM CORP	000277924
CREE INC	000895419
CRESCENT OIL & GAS CORP	001101101
CRESCENT POINT ENERGY CORP	001307434
CRESCENT R E EQUITIES INC	001276809
CRESCITA THERAPEUTICS INC	001198455
CRESTAR ENERGY INC	001040375
CRESTAR FINANCIAL CORP	000101880
CRESTVIEW PETE CORP	001303183
CREXENDO INC	001566933
CRI LIQUIDATING REIT INC	000850143
CRIIMI MAE INC	000847322
CRIMSON EXPLORATION INC	001374511
CRISPR THERAPEUTICS AG	001371265
CRITEO SA	001576427
CRITICAL CONTROL ENRGY SRVCS	001157814
CRITICAL PATH INC	001060801
CRITICARE SYSTEMS INC	001167656
CROCKER REALTY INVESTORS INC	000893181
CROCKER REALTY TRUST INC	000935897
CRONOS GROUP INC	000919869
CROP GENETICS INTL CORP	001360979
CROSSAMERICA PARTNERS LP	001538849
CROSSCOM CORP	001439026
CROSSKEYS SYSTEMS CORP	001022220
CROSSMANN COMMUNITIES INC	000911644
CROSSROADS SYSTEMS INC	001093207
CROSSWAVE COMMUN INC  -ADR	001234259
CROSSWORLDS SOFTWARE INC	001037834
CROWN BRANDS INC	000719798
CROWN BUTTE RESOURCES LTD	001370724
CROWN CAPITAL PARTNERS INC	000869721
CROWN CASTLE INTL CORP	001051470
CROWN CENTRAL PETROL  -CL B	001609942
CROWN EQUITY HOLDINGS INC	001228766
CROWN LABORATORIES INC/DE	000847385
CROWN LIFE INSURANCE CO	001185184
CROWN PARTNERS INC	000811036
CROWN POINT ENERGY INC	001516469
CRS ROBOTICS CORP	001538890
CRT PROPERTIES INC	000835664
CRW FINANCIAL INC	001219948
CRYOCATH TECHNOLOGIES INC	001352068
CRYOCOR INC	001125294
CRYPTOLOGIC LTD	001094036
CRYSTAL GAS STORAGE INC	000745907
CRYSTAL ROCK HOLDINGS INC	001365980
CS RESOURCES LTD	001600721
CSA MANAGEMENT INC  -CL A	000764629
CSC INDUSTRIES INC	000806400
CSI COMPUTER SPECIALISTS INC	000923141
CSP INC	001579137
CSRA INC	001412943
CT COMMUNICATIONS INC	000023248
CT FINANCIAL SERVICES INC	001409922
CT HOLDINGS ENTERPRISES INC	000752789
CT REAL ESTATE INVESTMENT TR	001436262
CTC COMMUNICATIONS GROUP INC	001092319
CTI GROUP HOLDINGS INC	000355627
CTI MOLECULAR IMAGING INC	001129552
CTL CREDIT INC	000898287
CTN MEDIA GROUP INC	000876013
CTT PHARMACEUTICAL HLDGS INC	001536252
CTV INC	001536252
CU BANCORP	001543643
CUBIC ENERGY INC	000319156
CUBIST PHARMACEUTICALS INC	000912183
CUCOS INC	000731724
CUE BIOPHARMA -REDH	001327314
CULLEN/FROST BANKERS INC	001243597
CUMBERLAND TECHNOLOGIES INC	000882087
CUPERTINO NATL BANCORP	000757790
CUR MEDIA INC	001482503
CURO GROUP HLDGS CORP -REDH	001574589
CURON MED INC	001574589
CURRAGH INC	001586571
CURRENT TECHNOLOGY CORP	000883907
CURTIS INTERNATIONAL LTD	001063251
CUSEEME NETWORKS INC	001006591
CUSHMAN ELECTRONICS INC	001233278
CUTERA INC	001162461
CVB FINANCIAL CORP	000354647
CVD EQUIPMENT CORP	000766792
CVENT INC	001122897
CVF TECHNOLOGIES CORP	001032997
CVI ENERGY CORP LTD	001574474
CVR REFINING LP	001562380
CYAN INC	001391636
CYBEAR GROUP	001131187
CYBER DIGITAL INC	000721295
CYBERARK SOFTWARE LTD	000788738
CYBERCASH INC	001004232
CYBERDEFENDER CORP	001377720
CYBERGUARD CORP	000927133
CYBERIA HOLDINGS INC	000929752
CYBERIAN OUTPOST INC	001041712
CYBERMEDIA INC	001019156
CYBERNET INTERNET SVCS INTL	001070658
CYBEROPTICS CORP	000768411
CYBERSURF CORP	001065598
CYBERTEK CORP	001093623
CYBEX COMPUTER PRODS	001080135
CYCLELOGIC INC	001447231
CYCLOPS INDUSTRIES INC	000844788
CYCOMM INTERNATIONAL INC	000869979
CYGAM ENERGY INC	001402248
CYGNAL TECHNOLOGIES CORP	001029323
CYLINK CORP	001234287
CYMABAY THERAPEUTICS INC	001574028
CYNK TECHNOLOGY CORP	001324889
CYNOSURE INC	000885306
CYPOST CORP	001090659
CYPRESS BIOSCIENCE INC	000716054
CYPRESS COMMUNICATIONS INC	001043892
CYPRESS ENERGY INC  -CL A	001084409
CYPRESS HILLS RESOURCE CORP	001338421
CYPRESS SEMICONDUCTOR CORP	000743669
CYPRUS AMAX MINERALS CO	000769589
CYREN LTD	001367731
CYRIX CORP	000867105
CYRUSONE INC	001575806
CYSIVE INC	001093193
CYTOMX THERAPEUTICS INC	001465584
CYTRX CORP	000799698
CYTYC CORP	000849778
CZAR RESOURCES LTD	001542682
D & E COMMUNICATIONS INC	000889493
D R HORTON INC	001255331
D&K HEALTHCARE RESOURCES INC	001268718
DACOTAH BANKS INC	001397476
DAEGIS INC	001134712
DAIG CORP	000314416
DAILY JOURNAL CORP	000783412
DAIMLER AG	001067318
DAIR VENTURES INC	001139511
DAKA INTERNATIONAL INC	000840826
DALECO RESOURCES CORP	000746967
DALEEN TECHNOLOGIES INC	001002658
DALLAS SEMICONDUCTOR CORP	000749420
DALSA CORP	001574006
DAMSON ENERGY CO  -LP-CL A	000773915
DAMSON OIL	000773915
DANAHER CORP	001378036
DANCE BIOPHARM INC-REDH	001258727
DANDRIT BIOTECH USA INC	001259781
DANIEL INDUSTRIES	001574967
